"","Dimension","L","Stepsize","ESS","ESS.L","AR"
"140",4,20,0.125,5017.6731663586,250.88365831793,0.9915
"141",10,1,2.5,0,0,0
"142",10,2,1.25,2.80629043992599,1.40314521996299,0.0034
"143",10,3,0.833333333333333,878.071822261682,292.690607420561,0.2586
"144",10,4,0.625,2478.49635161324,619.624087903309,0.6067
"145",10,5,0.5,3758.72175970602,751.744351941203,0.7762
"146",10,6,0.416666666666667,3974.05808489625,662.343014149376,0.8537
"147",10,7,0.357142857142857,4365.66045771075,623.665779672965,0.9013
"148",10,8,0.3125,4839.30176766081,604.912720957601,0.9275
"149",10,9,0.277777777777778,4746.85312149304,527.428124610338,0.9447
"150",10,10,0.25,4556.17675107062,455.617675107062,0.9567
"151",10,11,0.227272727272727,4602.51339851177,418.410308955615,0.9618
"152",10,12,0.208333333333333,4964.61731237994,413.718109364995,0.9667
"153",10,13,0.192307692307692,4283.75435169265,329.519565514819,0.9749
"154",10,14,0.178571428571429,5302.18373510562,378.727409650401,0.9786
"155",10,15,0.166666666666667,4798.88309479473,319.925539652982,0.9826
"156",10,16,0.15625,5363.22163836989,335.201352398118,0.9827
"157",10,17,0.147058823529412,5140.28459287292,302.369681933701,0.9864
"158",10,18,0.138888888888889,5234.86530106791,290.825850059328,0.9874
"159",10,19,0.131578947368421,5188.66864940513,273.087823652902,0.9857
"160",10,20,0.125,5302.76237865083,265.138118932541,0.9898
"161",50,1,2.5,0,0,0
"162",50,2,1.25,0,0,0
"163",50,3,0.833333333333333,9.4725242445644,3.15750808152147,0.0053
"164",50,4,0.625,555.005879717063,138.751469929266,0.215
"165",50,5,0.5,1801.08188401009,360.216376802018,0.5026
"166",50,6,0.416666666666667,2736.75560850783,456.125934751305,0.6699
"167",50,7,0.357142857142857,3410.56559906417,487.223657009167,0.7759
"168",50,8,0.3125,3476.4457013669,434.555712670863,0.8386
"169",50,9,0.277777777777778,3729.89320562059,414.432578402288,0.866
"170",50,10,0.25,4089.3545130583,408.93545130583,0.8934
"171",50,11,0.227272727272727,4254.6086051415,386.782600467409,0.917
"172",50,12,0.208333333333333,4529.70511151246,377.475425959371,0.9255
